ID,Program Name,Link,Program Type,Project Name,Recipient Region (if applicable),MEA Award,Total Project Cost,Sector,Capacity,Capacity Units,Electricity Reduction (kWh),Technology,CO2 Emissions Reductions (metric tons),Date,Notes,Legislative District,Congressional District,County
RCEGP004655,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,5405,47500,Residential,10.81,kW,,Solar PV,6.42114,01/17/2012 12:00:00 AM,,,,
RCEGP004656,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,500,11321,Residential,48,sqft,,Solar Hot Water,1.28304,08-03-2011 00:00,,,,
RCEGP004657,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,28208.25,Residential,5.76,kW,,Solar PV,3.42144,04/29/2013 12:00:00 AM,,,,
RCEGP004658,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,3000,23475,Residential,3,ton,,Geothermal,1.406295,06/17/2014 12:00:00 AM,,,,
RCEGP004659,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,67130,Residential,9.8,kW,,Solar PV,5.8212,04/26/2012 12:00:00 AM,,,,
RCEGP004660,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,4605,36635,Residential,6.21,kW,,Solar PV,3.68874,12/15/2010 12:00:00 AM,,,,
RCEGP004661,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,2775,31912,Residential,5.55,kW,,Solar PV,3.2967,01/17/2012 12:00:00 AM,,,,
RCEGP004662,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,42500,Residential,9.25,kW,,Solar PV,5.4945,10/21/2013 12:00:00 AM,,,,
RCEGP004663,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,700,2922.6,Residential,34000,BTUs/hr,,Wood Burning Stove,,10/16/2014 12:00:00 AM,,,,
RCEGP004664,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,2750,35520,Residential,5.5,kW,,Solar PV,3.267,10/14/2011 12:00:00 AM,,,,
RCEGP004665,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,3000,40670,Residential,6,ton,,Geothermal,2.81259,11/19/2014 12:00:00 AM,,,,
RCEGP004666,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,9559,Residential,5.64,kW,,Solar PV,3.35016,10/17/2012 12:00:00 AM,,,,
RCEGP004667,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,26658,Residential,6.615,kW,,Solar PV,3.92931,05/17/2013 12:00:00 AM,,,,
RCEGP004668,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,16595.5,Residential,5.39,kW,,Solar PV,3.20166,10/28/2013 12:00:00 AM,,,,
RCEGP004669,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,700,4374.3,Residential,47300,BTUs/hr,,Wood Burning Stove,,10/27/2014 12:00:00 AM,,,,
RCEGP004670,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,59000,Residential,7,ton,,Geothermal,3.281355,02-02-2012 00:00,,,,
RCEGP004671,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,18742.5,Residential,3.68,kW,,Solar PV,2.18592,09-09-2013 00:00,,,,
RCEGP004672,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,3000,17037.01,Residential,2,ton,,Geothermal,0.93753,09-09-2013 00:00,,,,
RCEGP004673,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,2000,35053,Residential,5,ton,,Geothermal,2.343825,06/16/2011 12:00:00 AM,,,,
RCEGP004674,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,17493,Residential,3.43,kW,,Solar PV,2.03742,07/22/2013 12:00:00 AM,,,,
RCEGP004675,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,4900,88200,Residential,9.8,kW,,Solar PV,5.8212,07-12-2011 00:00,,,,
RCEGP004676,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1500,24865.07,Residential,3,ton,,Geothermal,1.406295,04-11-2011 00:00,,,,
RCEGP004677,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,2000,28590,Residential,4,ton,,Geothermal,1.87506,01-11-2012 00:00,,,,
RCEGP004678,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,3000,10729,Residential,3,ton,,Geothermal,1.406295,02/13/2013 12:00:00 AM,,,,
RCEGP004679,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,6528,49360,Residential,10.08,kW,,Solar PV,5.98752,11/15/2010 12:00:00 AM,,,,
RCEGP004680,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,2795,42372,Residential,5.59,kW,,Solar PV,3.32046,03-05-2012 00:00,,,,
RCEGP004681,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,16960,Residential,4.24,kW,,Solar PV,2.51856,06-04-2014 00:00,,,,
RCEGP004682,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,2000,66760.4,Residential,8,ton,,Geothermal,3.75012,03-10-2011 00:00,,,,
RCEGP004683,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,52479,Residential,10.29,kW,,Solar PV,6.11226,05/20/2013 12:00:00 AM,,,,
RCEGP004684,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,500,13800,Residential,54,sqft,,Solar Hot Water,1.44342,08/13/2013 12:00:00 AM,,,,
RCEGP004685,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,400,2349,Residential,74300,BTUs/hr,,Wood Burning Stove,,04/23/2013 12:00:00 AM,,,,
RCEGP004686,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,500,3200,Residential,40500,BTUs/hr,,Wood Burning Stove,,04-09-2014 00:00,,,,
RCEGP004687,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,74235,Residential,19.11,kW,,Solar PV,11.35134,07/22/2013 12:00:00 AM,,,,
RCEGP004688,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,3000,28186,Residential,3,ton,,Geothermal,1.406295,04/15/2014 12:00:00 AM,,,,
